text,Author_num
"an international task force working to resolve the simmering controversy over desirable addresses , the committee released a draft plan friday for a substantial expansion of the total number of destinations . 
  the international ad hoc committee on domain names , formed by the internet society in october , recommended that seven new so - called top - level domains be added to the internet . 
  top - level domains are the three - letter designations most internet sites end with , such as "" com "" in http://www.gm.com for other web sites , "" gov "" in government sites and "" edu "" for sites run by schools . 
  the committee recommended that an unlimited number of firms be authorised to register the new addresses , although the panel said it hoped to initially approve 20 to 30 new registration services . 
  addresses for most sites are currently handed out by network solutions inc . of herndon , va . , which charges $ 100 for each registration . 
  at first , network solutions would continue to have a monopoly on the domain names it already controls but the committee said its "" ultimate goal "" is to have all names handled by all qualifed firms . 
  "" the iahc members were faced with a formidable challenge , "" said donald heath , president of the internet society and chairman of the committee . "" we accomplished our goal , in no small part , because we were able to bring people together from around the world , via the internet . "" 
  the full text of the recommendations was posted on the internet at http://www.iahc.org , heath said . the proposal will be open for public comment until jan . 17 and a final report is expected by feb . 3 . 
  new names and competing registration services should help quell disputes over popular and trademarked names . 
  disputes are arising more frequently , usually when the holder of a trademark discovers that someone else is using their trademark as the name of an internet site . 
  for example , viacom inc . the mtv music channel fought with one of its employees , who had registered "" mtv.com , "" eventually regaining control of the name in an out - of - court settlement . 
  in another case , a journalist tweaked mcdonald 's corp . by registering "" mcdonalds.com "" before the fast - food giant did and before the internet had attained its current prominence . the address now belongs to mcdonald 's . 
  once new top - level domain names are available , 10 people or organisations could register similar names . the new top - level domains will contain three to five letters but have not yet been selected . 
  the committee included members from the internet society , which helps coordinate and develop net standards ; the internet assigned number authority , which oversees certain of the standards , and the internet architecture board , which helps draft and promulgate new technical standards . 
  the committee also included representatives from the international telecommunications union , the world intellectual property organisation and the international trademark . .",0
"an internet advocacy group released its plan wednesday to dramatically increase the number of available addresses in cyberspace while quelling disputes over the use of trademarks in those address names . 
  the international ad hoc committee , which includes members of internet standards - setting bodies and legal and communications experts , proposed seven new "" top - level domains , "" the last block of letters at the end of every internet address . 
  if the plan is adopted , net surfers will see addresses ending in "" com "" , "" store "" , "" info "" , "" com "" , "" arts "" , "" rec "" and "" nom "" , joining "" com "" , "" edu "" , "" gov "" and other existing top - level domains . 
  each new domain reflects a particular type or category of internet site . for example , "" rec "" would be for sites emphasising recreation and entertainment , while "" nom "" would be for those desiring individual or personal nomenclature . 
  in drafting the plan , the group received more than 4,000 comments from around the world . the consensus - building approach followed an outcry that arose when a few internet bodies unveiled a similiar plan last august . 
  "" we are very pleased with the acceptance and broad consensus that we have achieved in this process , "" said donald heath , president of the internet society and chair of the ad hoc committee . "" to attain its fullest potential , the internet requires true self - governance . "" 
  heath said the plan should be approved by internet standard setters within a few weeks , allowing new domains to come online about three months later . 
  the plan includes provisions to resolve disputes arising over the use of trademarked names as internet addresses . 
  last year , for example , toymaker hasbro inc . won a lawsuit to regain control of the internet address "" candyland.com , "" which was being used for an adult web site with nude photographs . 
  but more complex disputes are arising where both parties may have a legitimate claim to an internet address . 
  under the committee plan , anyone applying for an internet address will have to agree to resolve disputes through online mediation under the rules of the world intellectual property organisation . mediation will be provided by panels composed of international experts on intellectual property , trademarks and the net . challenges initiated within 60 days of an address registration would be resolved within 30 days . 
  all challenges and proposed decisions would be made public and time allowed for comment before a final decision was rendered . 
  the plan will not completely eliminate court battles , attorneys said . "" it is much better than the policies we ' ve seen in the past , but , just by the nature of how valuable these domains have become , litigation will continue , "" said paul terry , internet law specialist at winthrop , stimson , putnam & amp ; roberts . 
  the plan also calls for establishing up to 28 competing registration agencies to dole out the new addresses . the firms will operate under the auspices of a council of registrars , to be established as a non - profit organisation in switzerland . 
  currently , one firm , herndon , va.-based network solutions inc . , hands out addresses in the most popular domains , charging $ 100 for a two - year registration . 
  network solutions , which registers over 80,000 new internet addresses a month , had no comment on the plan , but a spokesman raised doubts about its viability . "" we 're concerned with the stability and integrity of the registration process , "" spokesman christopher clough said . 
  the complete proposal is posted on the world wide web at http://www.iahc.org/draft-iahc-recommend-00.html .",0
"- u.s . district court judge wednesday barred new federal regulations that allow credit unions to expand their membership beyond workers at one company , saying this would exceed the legal limits on the institutions . 
  the rules have raised the ire of banks who , fearing the loss of customers , have been battling the court since 1990 to keep credit unions to their traditional role of serving members of one "" one "" community "" occupation . 
  the new rules , which the national credit union administration adopted last month after an unfavorable court ruling , redefined "" a single common bond "" that is the basis of credit union membership . 
  on wednesday , judge thomas jackson issued an injunction blocking the new rules , saying they were merely an attempt to circumvent earlier court rulings . 
  earlier court rulings limited members of a credit union to a single company or organization . the court actions struck down a 1982 ncua decision allowing credit unions to draw members from multiple . . 
  under the latest ncua rules , credit unions could include members of a single trade , industry or profession even if the members worked for different companies . 
  jackson chastised the ncua because said the federal credit union regulator was acting more like a trade . . 
  jackson also said the agency must rescind 31 applications that it had already approved for credit union charters under the new rules . 
  the judge said he might refer the matter to the attorney general for further investigation of what he termed collusive behavior among the agency and credit unions . 
  "" why did you go about it in such a surreptitious , collusive , underhanded way ? "" jackson asked lawyers for the agency at a hearing wednesday . 
  eric goulian , a lawyer for the justice department , denied the agency had acted improperly and said the new rules were a response to emergency conditions . 
  the fireworks were the latest development in a six - year - old case before jackson pitting the american bankers association against the agency and the credit union industry . 
  in 1990 , the aba and five north carolina banks filed suit againt at&amp;t family federal credit union , which had grown to encompass members from more than 150 different occupational groups . 
  in july , a u.s . court of appeals handed the banks a major victory in the case , ruling that the ncua had exceeded its statutory authority in allowing single credit unions each to serve members of more than one employer . 
  jackson issued injunctions in october implementing the ruling . the injunctions limited more than 3,500 non - profit credit unions nationwide to members who share a "" single common bond . "" 
  the credit union industry has said the injunctions will result in millions of people being expelled from credit unions , with some unable to afford similiar but more expensive loans from banks . 
  two weeks after jackson issued the injunctions , the credit union agency adopted new rules , now set aside , to dramatically expand the definition of a single common bond . 
  the new rules also allow credit unions to have as many as 1 million members , up from 25,000 under the old rules . 
  after the hearing , brenda furlow , general counsel for the credit union national association , said the industry was considering an appeal . 
  "" clearly , we 're disappointed with the ruling , "" she said . "" basically , banks are trying to aggressively protect their competitive interests and the american consumer loses . "" 
  paul schosberg , president of the trade association america of community bankers , praised jackson 's ruling . "" the ncua has clearly stretched the law 's common bond requirement beyond all limits , "" he said .",0
"the debate over reforming america s financial services sector , a top priority for congress and the clinton administration , began in earnest tuesday night 
  as major industry representatives sat down for a house banking subcommitee hearing discussing two pending reform bills , word came that senate banking committee chairman alfonse d'amato , r.-n.y . , had introduced his own version of comprehensive reform . 
  the bills introduced so far , as well as an administration proposal expected late next month , begin with the same premise : the time is right to scrap the glass - steagall act enacted during the depression to separate banking from other financial activities like securities underwriting and insurance . 
  most in congress agree . and , for the first time , most financial service company seem to agree as well . 
  at the hearing of the subcommittee on financial institutions , representatives of banking , insurance , securities and mutual funds all agreed congress should allow a single entity to span all financial services businesses . 
  but , as subcommittee chairwoman marge roukema , a new jersey republican , observed , "" the devil is in the details . "" 
  those who had opposed tearing down glass - steagall , mainly insurance and securities companies , have seen federal courts and courts slowly roll back the law , but only for banks . 
  last march , the supreme court freed banks from many state insurance restrictions . 
  the federal reserve also decided to allow banks to derive up to 25 percent of a subsidiary 's revenue from securities activity , an increase from the previous limit of 10 percent . in november , the comptroller of the currency said congress would start allowing national banks to enter a host of non - banking businesses . 
  banks got substantial new authority , but others got nothing . 
  "" for too long , important policy issues have been addressed by regulatory agencies and the courts rather than by congress , "" metropolitan life insurance co. vice president roy albertalli testified at the hearing . albertalli spoke on behalf of the american council of life insurance , which had opposed mixing banks and insurance . 
  all the proposals before congress would level the playing field to some degree and recognise the changes that have shaken modern finance . 
  "" this banking reform legislation will reform the current patchwork of laws and allow the market to operate freely within the financial services industry , "" d'amato said as he introduced his bill . 
  while a broad consensus has been achieved , several important issues remain to be addressed . perhaps the most controversial is the extent to which non - financial companies should be allowed to own or be owned by financial companies . 
  under existing law , mutual funds , insurance companies and savings and loans can affiliate with so - called insurance , while banks can . . 
  smaller banks and consumer groups staunchly oppose mixing the two , which would be permitted under the d'amato bill , limited under the roukema bill and forbidden under a bill introduced by house banking chairman jim leach , r.-iowa . 
  joseph bracewell of the indepedent bankers association of america laid out the opposition . citing former federal reserve chairman paul volcker , bracewell said such mergers could "" distort lending decisions , be anticompetitive and threaten the safety and soundness of the banking system . 
  banks said they could live with roukema 's compromise approach , but were undecided about the d'amato plan . others heartily endorsed the unlimited approach . 
  mutual funds have been "" knee - deep in affiliations "" and "" they ' ve never proved a problem in 57 years , "" said matt fink , president of the investment company institute . 
  differences also remain regarding regulation of new , diversified financial services companies , although most favoured an approach having smaller , specialised agencies regulate the relevent portion of the group 's activities .",0
"the internet could provide a huge boost for the u.s . economy if the federal government pursues "" free market "" policies in cyberspace , a group of president clinton ' top advisers says in a draft report obtained by reuters . 
  the group , an interagency task force headed by senior presidential adviser ira magaziner , recommended that the administration work globally to protect the internet from new taxes , censorship and other onerous forms of regulation . 
  after seven months of deliberations , the task force is preparing to issue for public comment a report of principles and policies the unites states should pursue , magaziner said in an interview . 
  "" one of the things we 're trying to do with this paper is as much say what government should not do as say what they should do , "" magaziner said . "" a lot of what industry is concerned about is that governments are already beginning to take actions around the internet that would inhibit . . "" 
  the growth of internet commerce could help boost u.s . exports of everything from movies and news to software and consulting services . exports of such products totalled $ 40 billion in 1995 , the draft report noted . 
  the idea is to hitch u.s . exports to the speeding internet commerce train . sales of goods and services online are projected to grow to $ 7 billion in the year 2000 , from about $ 1 billion this year , according to market researchers at jupiter communications . 
  "" companies have told us there would be a tremendous potential to increase world trade across the internet if we could provide the right kind of environment , "" magaziner said . 
  the draft report , called "" a framework for global electronic commerce , "" covers nine issues , from taxation and customs to privacy and security . 
  on taxation , the draft report echoes a report issued by the treasury department last month by stating no new taxes should be imposed . acting through the world trade organisation , the united states should push for the internet to be designated a duty - free zone , the draft said . 
  some consumers worry that their privacy will be violated when they shop online . the report said governments should push vendors to disclose what will be done with information about consumers rather than dictate to merchants what they can or can not do with the data . 
  on some issues , such as encryption or encoding information in a scrambled format to provide a measure of security or privacy -- existing administration policies may be seen as conflicting with the free market goals of the draft report . 
  magaziner said policies will evolve over time , "" but the paper will reflect where we are now . "" 
  magaziner headed clinton 's failed effort to reform the u.s . health care system , an initiative critics said favoured government over the private sector . 
  while disagreeing with his critics ' characterisation of the health care plan , magaziner said the internet "" is a wholly wrong animal . 
  "" i ' m a problem solver , not an intellectual , "" he said .",0
"several u.s . legislators are planning to introduce measures soon to relax export restrictions on encryption technology , an increasingly essential part of global communications and online commerce . 
  last year , the clinton administration relaxed some of the cold war era export limits on the technology , specialized computer programs that scramble data and render it unreadable without a password or software key . . "" 
  but computer companies said the administration did not go far enough , locking them out of the growing global market .  
  rep . bob goodlatte , republican of virginia , plans to reintroduce a bill on wednesday that would go well beyond the clinton administration . now , staff people at his office said . 
  goodlatte 's bill would allow computer companies like netscape communications corp or microsoft corp to export products with powerful encryption features if foreign competitors were selling similiar technology . 
  in the senate , montana republican sen conrad burns is also planning to reintroduce his encryption bill late last year .  
  at an informal gathering of the congressional internet caucus tuesday night , burns said he expected to put forth the bill , known by the acronym pro - code , in late february . 
  at one time , the senator had said the 1997 bill would be identical to last year 's bill which did not get a vote in the commerce committee .    but staffers said the senator is still tweaking the bill to draw more supporters . 
  "" it 's about ready to go , "" burns said tuesday night . 
  goodlatte 's bill , under the jurisdiction of the house judiciary committee , had already garnered 54 co - sponsors by tuesday night .  
  staff said the bill almost had the backing of a majority of the members of the judiciary committee . 
  others are also considering introducing bills , some seeking a middle approach between the administration and the burns and goodlatte bills , which would remove nearly all export restrictions . 
  sen . patrick leahy , the vermont democrat and co - chair of the internet caucus , may have a bill and rep rick white , pennsylvania republican and also co - chair , is considering weighing in , staff people said . 
  some lobbyists involved in the debate said that the administration was considering introducing its own legislation .    but they were unsure about the contents of the legislation , since the administration implemented its new policy by a presidential executive order in november . 
  administration officials were not immediately available for comment . 
  ( ( 202 - 202 - 83 ) )",0
"the commodity futures trading commission , one of the nation s primary regulators of derivatives , has no authority over most foreign currency transactions , the supreme court ruled tuesday . 
  in a unanimous decision , the court ruled that a 1974 law exempting some transactions in foreign currency from cftc oversight also exempted some foreign exchange derivatives , financial instruments whose value is based on the value of currencies like the dollar or japanese yen . 
  the cftc regulates trading of derivatives such as futures and options on everything from wheat and corn to interest rates and electricity . by law , such trading must occur on a recogized exchange , such as the chicago board of trade or the new york mercantile exchange . 
  but when congress created the commission in 1974 , it added an amendment permitting off - exchange trading in foreign currency and a few other items without cftc regulation . the amendment was requested by the treasury department , which believed that the developing market in foreign currency among large banks and securities firms would be overregulated by cftc oversight . 
  the cftc stayed away from the inter - bank foreign exchange market , which has grown to $ 40 billion a day in total trading . the commission did , however , prosecute small - scale fraudulent foreign exchange investment peddlers , often called the bucket shops . "" 
  but when the cftc pursued william dunn , whose $ 180 million foreign currency fund lost $ 95 million in 1993 , dunn argued that the 1974 treasury amendment should also apply to his trading of foreign exchange options . 
  on tuesday , the supreme court agreed with the bulk of dunn 's argument . 
  "" we think it plain that foreign currency options are ' transactions in foreign currency ' within the plain meaning of the statute , "" justice john paul stevens wrote . "" we are not persuaded by any of the arguments advanced by the cftc in support of a narrower reading . "" 
  that pleased banks and wall street trade groups , which had sided with dunn . they argued that subjecting their off - exchange foreign exchange trading to cftc oversight would be too costly , forcing them to shut down u.s . operations and move overseas . 
  "" we 're obviously delighted at the result , "" said ken raisler , an attorney for several of the trade groups . 
  "" it supports our view that the amendment should be read broadly , "" raisler , a former general counsel of the cftc added . 
  dunn 's lawyer and the banks suggested that any wrongdoing in the foreign exchange area could be dealt with under existing law by other federal agencies , but the supreme court did not address the . . most off - exchange derivatives trading is not directly regulated , but most participants in such markets are overseen by bank , securities and insurance regulators . 
  the cftc still has jurisdiction over foreign currency derivatives traded on an exchange , which include futures contracts . but that market is dwarfed by the over - the - counter market among banks and similiar institutions . 
  in a lower court case last year , the cftc argued unsuccessfully that a fraudulent "" bucket shop "" constituted an exchange . 
  on tuesday , the commission maintained that the supreme court had decided only the narrow issue of whether the treasury amendment covered options trading . 
  "" while we are disappointed in the outcome of the case , we note that the supreme court 's opinion was limited to the narrow issue of whether the treasury amendment treats futures and options the same , "" cftc general counsel dan waldman said . "" the court 's decision does not affect the commission 's ongoing efforts to police fraud against the public in foreign currency trading . "" 
  congress is already discussing amending the 1974 treasury amendment . the supreme court 's decision "" underlines the need for congress to make decisions about what financial products should or should not be subject to the cftc 's jurisdiction , "" said andy fisher , spokesman for the senate agriculture committee . 
  sens . dick lugar , r - ind . , pat leahy , d - vt . , and tom harkin , d - iowa , introduced a senate bill to overhaul futures regulation . "" it makes the case to proceed with that bill as quickly as we can , "" fisher said . 
  the court invited congressional action . recognising an "" important public policy dispute "" underlying the case , the court suggested "" these arguments are addressed to the congress , not the "" . """,0
"legislators introduced two bills thursday to overturn the clinton administration ' export limits on computer encryption technology , a key component of online commerce and global communications . 
  encryption products , which scramble information and render it unreadable without a password or software "" key , "" were once the realm of spies and generals . 
  but with the booming growth of the internet , secret coding is now used for everything from keeping a business 's e - mail confidential to protecting a consumer 's credit card number if it is transmitted online . 
  senators said export restrictions on encryption products were hindering the development of the internet and making it impossible for u.s . companies to compete with foreign firms . 
  the bills "" roll back current restrictions on the export of strong cryptography so that high - tech u.s . firms are free to compete in the global marketplace and meet the demand of customers , "" sen . pat leahy , a vermont democrat and co - sponsor of both bills , said at a capitol hill news conference . 
  "" online commerce will never reach its full potential under the policies of this and past administrations , "" said sen . conrad burns , a montana republican , also a co - sponsor . 
  the bills would generally allow a u.s . company to export a product with strong encryption features if similiar products were being offered for sale by a foreign supplier . leahy and burns introduced similiar measures in the last congress . 
  under the current clinton administration policy , a company may export strong encryption only if the product also includes a feature to allow the u.s . government to crack the code by recovering the software "" key "" when acting under a court order or similiar authority . the administration says it must be able to crack the codes to catch the criminals and terrorists . 
  if the bills became law , mandatory key recovery would be banned but the government would still be permitted to restrict the export of encryption for military use or to countries posing terrorist threats . 
  the legislation would also write into law the current policy permitting unrestricted domestic use of encryption , but one bill would criminalize the use of codes to obstruct . . 
  the clinton administration signalled its displeasure with the new bills . 
  "" we continue to be disappointed with senator burns ' approach because it does not balance the needs of individual privacy and economic growth with national security and public safety , "" undersecretary of commerce william reinsch said . "" we believe there is a market for key recovery products from businesses who recognise the need for a back door to their own corporate data . "" 
  computer companies and privacy advocates hailed the bills . 
  "" both bills promote the freedom of this nation 's fastest - growing industry to provide customers here and abroad with products they demand , "" said robert holleyman , president of the business software alliance . the group includes microsoft corp . , international business machines corp . 's lotus development and apple computer inc . , among others . 
  "" this is the most important privacy legislation before the congress today , "" said jerry berman , executive director of the center for democracy and technology . 
  berman , who strongly opposes mandatory key recovery , said the policy ought to be "" my key , my key . """,0
"the clinton administration will modestly revise controversial export rules for computer encoding technology after a private meeting wednesday with computer and telecommunications companies . a top commerce department official said . 
  "" this is a work in progress , "" under secretary of commerce william reinsch said in a telephone interview after the hour and a half long meeting . "" there will be some changes that will be more than technical . ""  
  the administration circulated a draft this week of new rules that would overhaul cold war era export limits on products containing encryption , computer programs that scramble information and render it unreadable without a password or software "" . . "" 
  with the growth of the internet and online commerce , demand for encryption - capable products is growing worldwide . coded messages can keep a business ' e - mail confidential or protect a consumer ' credit card number sent on the internet . 
  reinsch and others who attended wednesday 's meeting said the tone was civil .  
  "" we had a long meeting but it was actually quite a constructive one and actually also a polite one , "" reinsch said . 
  industry officials argued at the meeting that the draft rules were unclear or unworkable on a number of points . 
  "" in some cases we could tell them what we meant which made them feel better and now we 'll go off and try to fix it , "" reinsch acknowledged . "" in other cases we 're going to have to think a little more about what they said and in some cases i ' m not sure there is a way to fix it . ""  
  "" we are not optimistic that these ( rules ) will be turned around and we feel going to congress is our only option , "" smiroldo said . the alliance includes a dozen large software companies including microsoft corp and international business machine corp 's lotus development . 
  several bills that would dramatically ease encryption export limits were introduced in the last congress and are expected to be revived next year . 
  ambassador david aaron , appointed by president clinton as special envoy for cryptography last month , also attended the meeting , reinsch said . 
  the draft rules implement an executive order signed by president bill clinton last month . under the order , limits on export of products containing strong encryption would be eased if the products allowed the government to decode encrypted messages by recovering the keys . 
  the draft rules detail for the first time the government 's definition of acceptable key recovery features and other aspects of the revised export approval process . 
  for example , until 1999 , companies will be allowed to export some products that do not include key recovery if the companies promise to include key recovery in future products . - 202 - 202 - 89",0
"u.s . banks will be able to significantly increase their securities underwriting activities under a rule adopted friday by the federal reserve . but that will only add pressure on congress to overhaul the entire regulatory system , market participants said . 
  the fed voted unanimously to allow so - called section 20 subsidiaries of banks to derive as much as 25 percent of their revenue from underwriting and dealing in securities such as stocks , corporate bonds and stocks paper . 
  the new rule takes effect in 60 days , the fed said .  
  at the meeting , fed governors called for congressional action to reform the 1933 glass - steagall act and other laws separating banks from non - bank financial services industries . 
  "" we hope that the next move will be up to the congress in this whole area , "" fed vice chair alice rivlin said . 
  "" legislation is needed but i think this is a constructive step and it is appropriate for us to interpret the existing legislation , "" governor susan phillips said . 
  while the glass - steagall act prohibits banks from engaging in non - bank activity , under section 20 of the act banks may affiliate with or not "" engaged principally "" in such areas .  
  the fed said it currently authorizes 41 bank subsidiaries to deal and underwrite securities , ranging from stocks and bonds to commercial paper and mortgage - backed securities . 
  banks were already allowed to handle other sorts of financial instruments , including treasury securities and over - the - counter derivatives . 
  both the fed ' action and an even broader move last month by the comptroller of the currency will raise the pressure on congress to scrap the glass - steagall act , according to robert litan , director of economic studies at the brookings institute .  
  in the past , banks led the charge to change the law because they wanted to get into other businesses , like selling insurance and underwriting . insurance companies and securities firms generally opposed the banks , creating legislative gridlock . 
  now , all industries will press for change , litan said . "" the tables have been turned , "" he said . "" but it 's not a two - way street . other industries will want to level the playing field . "" 
  banking industry representatives said they were elated by the fed vote .  
  "" this is a tremendous boost for banks that already underwrite securities and an incentive for banks considering this business , "" american bankers association managing director larry larocca said . 
  "" by lifting the 10 percent revenue cap to 25 percent for section 20 ineligible securities , the fed has begun chipping away at the antiquated barriers handicapping banks for years , "" larocca added . 
  securities industry groups had written to the fed strongly opposing the proposal and restated their position after the vote .  
  "" it 's as if santa clause delivered all the gifts to only one house in the neighborhood , "" steve judge , senior vice president for the securities industry association , said . 
  judge also called for congress to act . "" nothing could benefit consumers and our economy more than a modernization of federal laws governing the financial services industry , "" he said . 
  ( ( 202 - 202 - 83 ) )",0
